Campaign,Ad Group,Keyword,Budget,Political ads policy,Location,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Sitelink text,Sitelink final URL,Callout text,Phone number,Country code,Structured snippet header,Structured snippet value 1,Structured snippet value 2,Structured snippet value 3,Promotion item,Promotion discount
"Search - Residential Duct Cleaning",,,"12","Not applicable",,,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Los Angeles",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Beverly Hills",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Glendale",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Malibu",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Century City",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Hollywood",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Downtown LA",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Ventura",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Pasadena",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Burbank",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Studio City",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Encino",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Tarzana",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Reseda",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Canoga Park",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Woodland Hills",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Calabasas",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Valley Village",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Van Nuys",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Panorama City",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Northridge",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Sun Valley",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Central LA",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Pacific Palisades",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Brentwood",,,,,,,,,,,,,,,,,,,,,,,
"Search - Residential Duct Cleaning",,,,,"Los Feliz",,,,,,,,,,,,,,,,,,,,,,,
